"","tag_serial_number","tag_type","tag_subtype","sensor_type","acoustic_tag_id","acoustic_tag_id_alternative","manufacturer","model","frequency","status","activation_date","battery_estimated_life","battery_estimated_end_date","length","diameter","weight","floating","archive_memory","sensor_slope","sensor_intercept","sensor_range","sensor_range_min","sensor_range_max","sensor_resolution","sensor_unit","sensor_accuracy","sensor_transmit_ratio","accelerometer_algorithm","accelerometer_samples_per_second","owner_organization","owner_pi","financing_project","step1_min_delay","step1_max_delay","step1_power","step1_duration","step1_acceleration_duration","step2_min_delay","step2_max_delay","step2_power","step2_duration","step2_acceleration_duration","step3_min_delay","step3_max_delay","step3_power","step3_duration","step3_acceleration_duration","step4_min_delay","step4_max_delay","step4_power","step4_duration","step4_acceleration_duration","tag_id","tag_device_id"
"163","1350783","acoustic-archival","animal","P","A69-9006-10812",NA,"INNOVASEA","V9P-2x","069k","active",NA,"502",2022-01-26 11:00:00,NA,NA,NA,NA,NA,0.1504,-0.6018,"34",NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jolien Goossens",NA,"180","280","H",153,NA,"300","400","L",120,NA,"300","400","H",229,NA,NA,NA,"L",0,NA,"acoustic:9302",732
"164","1350784","acoustic-archival","animal","P","A69-9006-10813",NA,"INNOVASEA","V9P-2x","069k","active",NA,"502",2021-12-22 04:30:00,NA,NA,NA,NA,NA,0.1504,-0.6018,"34",NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jolien Goossens",NA,"180","280","H",153,NA,"300","400","L",120,NA,"300","400","H",229,NA,NA,NA,"L",0,NA,"acoustic:9303",733
"165","1350785","acoustic-archival","animal","P","A69-9006-10814",NA,"INNOVASEA","V9P-2x","069k","active",NA,"502",2021-12-22 06:15:00,NA,NA,NA,NA,NA,0.1504,-0.6018,"34",NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jolien Goossens",NA,"180","280","H",153,NA,"300","400","L",120,NA,"300","400","H",229,NA,NA,NA,"L",0,NA,"acoustic:9304",734
"166","1350786","acoustic-archival","animal","P","A69-9006-10815",NA,"INNOVASEA","V9P-2x","069k","active",NA,"502",2021-12-22 08:05:00,NA,NA,NA,NA,NA,0.1504,-0.6018,"34",NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jolien Goossens",NA,"180","280","H",153,NA,"300","400","L",120,NA,"300","400","H",229,NA,NA,NA,"L",0,NA,"acoustic:9305",735
"167","1350787","acoustic-archival","animal","P","A69-9006-10816",NA,"INNOVASEA","V9P-2x","069k","active",NA,"502",2021-12-22 07:35:00,NA,NA,NA,NA,NA,0.1504,-0.6018,"34",NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jolien Goossens",NA,"180","280","H",153,NA,"300","400","L",120,NA,"300","400","H",229,NA,NA,NA,"L",0,NA,"acoustic:9306",736
"168","1350788","acoustic-archival","animal","P","A69-9006-10817",NA,"INNOVASEA","V9P-2x","069k","active",NA,"502",2021-12-22 06:25:00,NA,NA,NA,NA,NA,0.1504,-0.6018,"34",NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jolien Goossens",NA,"180","280","H",153,NA,"300","400","L",120,NA,"300","400","H",229,NA,NA,NA,"L",0,NA,"acoustic:9307",737
"169","1400185","acoustic-archival","animal","temperature","A69-9006-11099",NA,"INNOVASEA","ADST-2x",NA,"ended",2020-08-07 05:30:00,"400",2021-09-11 05:30:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jolien Goossens",NA,"180","200","H",120,NA,"300","400","H",280,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1998",846
"170","1400185","acoustic-archival","animal","pressure","A69-9006-11100",NA,"INNOVASEA","ADST-2x",NA,"ended",2020-08-07 05:30:00,"400",2021-09-11 05:30:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"m",NA,9,NA,NA,"VLIZ","Jolien Goossens",NA,"180","200","H",120,NA,"300","400","H",280,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1999",846
"171","1400186","acoustic-archival","animal","temperature","A69-9006-11101",NA,"INNOVASEA","ADST-2x",NA,"ended",2020-08-07 08:15:00,"400",2021-09-11 08:15:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jolien Goossens",NA,"180","200","H",120,NA,"300","400","H",280,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:2000",847
"172","1400186","acoustic-archival","animal","pressure","A69-9006-11102",NA,"INNOVASEA","ADST-2x",NA,"ended",2020-08-07 08:15:00,"400",2021-09-11 08:15:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"m",NA,9,NA,NA,"VLIZ","Jolien Goossens",NA,"180","200","H",120,NA,"300","400","H",280,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:2001",847
